school_name,school_address,latitude
Stuyvesant High School," 345 Chambers St New York, NY 10282",
Bergen County Academies,"200 Hackensack Avenue Hackensack, NJ 07601",
High Technology High School,"765 Newman Springs Road Lincroft, NJ 07738",
Union County Magnet High School,"1776 Raritan Road Scotch Plains, NJ 07076",
Staten Island Technical High School,"485 Clawson St Staten Island, NY 10306",
Townsend Harris High School,"149-11 Melbourne Ave Queens, NY 11367",
Bronx High School of Science,"75 W 205th St Bronx, NY 10468",
Biotechnology High School,"5000 Kozloski Road Freehold, NJ 07728",
Jericho Senior High School,"99 Cedar Swamp Rd Jericho, NY 11753",
Great Neck South High School,"341 Lakeville Rd Lake Success, NY 11020",
Bergen County Technical High School - Teterboro,"504 Us-46 Teterboro, NJ 07608",
"The Academy for Mathematics, Science & Engineering","520 West Main Street Rockaway, NJ 07866",
Academy for Allied Health Science,"1776 Raritan Road Scotch Plains, NJ 07076",
Academy for Information Technology,"1776 Raritan Road Scotch Plains, NJ 07076",
High School Math Science & Engineering at The City College of New York (CCNY),"240 Convent Ave New York, NY 10031",
Dr. Ronald E. McNair Academic High School,"123 Coles Street Jersey City, NJ 07302",
Millburn Senior High School,"462 Millburn Ave Millburn, NJ 07041",
Scarsdale Senior High School,"1057 Post Rd Scarsdale, NY 10583",
Syosset Senior High School,"70 S Woods Rd Syosset, NY 11791",
Manhasset Secondary School,"200 Memorial Pl Manhasset, NY 11030",
Herricks High School,"100 Shelter Rock Rd Herricks, NY 11040",
Staples High School,"70 North Ave Coleytown, Westport, Fairfield, CT 06880",
Baccalaureate School for Global Education,"34-12 36th Ave Long Island City, NY 11106",
Great Neck North High School,"35 Polo Rd Great Neck, NY 11023",
Union County Vocational-Technical High School,"1776 Raritan Rd Scotch Plains, NJ 07076",
High School of American Studies at Lehman College,"2925 Goulden Ave Bronx, NY 10468",
Bard High School Early College Queens,"30-20 Thomson Ave Long Island City, NY 11101",
Roslyn High School,"475 Round Hill Rd Roslyn Heights, NY 11577",
Tenafly High School,"19 Columbus Drive Tenafly, NJ 07670",
Academy of Allied Health & Science,"2325 Heck Avenue Neptune, NJ 07753",
Brooklyn Technical High School,"29 Ft Greene Pl Brooklyn, NY 11217",
Horace Greeley High School,"70 Roaring Brook Rd Tompkins Corners, NY 10514",
Paul D. Schreiber Senior High School,"101 Campus Dr Port Washington, NY 11050",
Livingston Senior High School,"Bulldog Boulevard, Livonia Center, Livonia Town Livingston, NY 14487",
Northern Highlands Regional High School,"298 Hillside Ave Allendale, NJ 07401",
"Middlesex County Academy for Science, Mathematics, & Engineering Technologies","100 Technology Drive Edison, NJ 08837",
Marine Academy of Science & Technology,Marine Academy of Science and Technology High School,
Bronxville High School,"177 Pondfield Rd Bronxville, NY 10708",
Eleanor Roosevelt High School,"411 E 76th St New York, NY 10021",
New Canaan High School,"11 Farm Rd New Canaan, CT 06840",
Rye High School,"Parsons St Rye, NY 10580",
Mamaroneck High School,"1000 W Boston Post Rd Mamaroneck, NY 10543",
Communications High School,"1740 New Bedford Road Wall, NJ 07719",
Bard High School Early College,"525 E Houston St New York, NY 10002",
Ridge High School,Ridge High School,
Byram Hills High School,Byram Hills High School,
Pelham Memorial High School,"575 Colonial Ave Pelham, NY 10803",
Wheatley School,"11 Bacon Rd Old Westbury, NY 11568",
Darien High School,"80 High School Ln.Darien, CT 06820",
Half Hollow Hills High School West,"375 Wolf Hill Rd Dix Hills, NY 11746",
"New Explorations into Science,Technology & Math School","111 Columbia St New York, NY 10002",
Weston High School,"115 School Rd Weston, CT 06883",
Summit Senior High School,"125 Kent Place Blvd Summit, NJ 07901",
Edgemont Junior/Senior High School,"200 White Birch Lane Scarsdale, NY 10583",
J.P. Stevens High School,"855 Grove Avenue Edison, NJ 08820",
John Jay High School,John Jay High School,
Plainview-Old Bethpage John F. Kennedy High School,"50 Kennedy Dr Plainview, NY 11803",
Half Hollow Hills High School East,"50 Vanderbilt Pky Dix Hills, NY 11746",
South Brunswick High School,"750 Ridge Road Monmouth Junction, NJ 08852",
Queens High School for the Sciences at York College,"94-50 159th St Jamaica, NY 11451",
Mountain Lakes High School,"96 Powerville Rd Mountain Lakes, NJ 07046",
Ridgewood High School,"627 East Ridgewood Ave Ridgewood, NJ 07451",
Greenwich High School,"10 Hillside Rd Greenwich, CT 06830",
Briarcliff High School,"444 Pleasantville Rd Briarcliff Manor, NY 10510",
Harborfields High School,"98 Taylor Ave Greenlawn, NY 11740",
Ardsley High School,"300 Farm Rd Ardsley, NY 10502",
Northern Valley Regional High School Demarest,"150 Knickerbocker Rd Demarest, NJ 07627",
Westfield Senior High School,"550 Dorian Rd Westfield, NJ 07090",
High Tech High School,"2000 85th Street N Bergen, NJ 07047",
George W. Hewlett High School,"60 Everit Ave Hewlett, NY 11557",
Garden City High School,"170 Rockaway Ave Garden City, NY 11530",
Northern Valley Regional High School - Old Tappan,"Central Ave Old Tappan, NJ 07675",
The Beacon School,"522 W 44th Street New York, NY 10036",
Tappan Zee High School,"15 Dutch Hill Rd Orangeburg, NY 10962",
The Brooklyn Latin School,"223 Graham Ave Brooklyn, NY 11206",
Montclair High School,"100 Chestnut St Montclair, NJ 07042",
Wilton High School,"395 Danbury Rd Wilton, CT 06897",
Morris County School of Technology,"400 East Main Street Denville, NJ 07834",
Hastings High School,"1 Mt Hope Blvd Hastings On Hudson, NY 10706",
Fox Lane High School,"S Bedford Rd Bedford, NY 10506",
Harrison High School,"255 Union Ave Harrison, NY 10528",
West Morris Mendham High School,"65 East Main Street Mendham, NJ 07945",
Ward Melville Senior High School,"380 Old Town Rd East Setauket, NY 11733",
Rye Neck Senior High School,"300 Hornidge Rd Mamaroneck, NY 10543",
Academy for Performing Arts,"1776 Raritan Road Scotch Plains, NJ 07076",
Bernards High School,"25 Olcott Avenue Bernardsville, NJ 07924",
Fairfield Warde High School,"755 Melville Ave Fairfield, CT 06825",
Middlesex County Academy for Allied Health & Biomedical Sciences,"1 Convery Boulevard Woodbridge, NJ 07095",
Fiorello H. Laguardia High School Of Music & Art & Performing Arts,"100 Amsterdam Ave New York, NY 10023",
North Shore Senior High School,"450 Glen Cove Ave Glen Head, NY 11545",
Walt Whitman High School,"301 W Hills Rd Huntington Station, NY 11746",
Pleasantville High School,"60 Romer Ave Pleasantville, NY 10570",
Leon M. Goldstein High School for the Sciences,"1830 Shore Blvd Brooklyn, NY 11235",
Mahwah High School,"50 Ridge Road Mahwah, NJ 07430",
Eastchester Senior High School,"2 Stewart Pl Eastchester, NY 10709",
Hillsborough High School,"466 Raider Boulevard Hillsborough, NJ 08844",
Bridgewater-Raritan High School,"600 Garretson Road Bridgewater, NJ 08807",
Sanford H. Calhoun High School,"1786 State St Merrick, NY 11566",
Fairfield Ludlowe High School,"785 Unquowa Rd Fairfield, CT 06824",
Watchung Hills Regional High School,"108 Stirling Rd Warren, NJ 07059",
Holmdel High School,"36 Crawfords Corner Road Holmdel, NJ 07733",
Blind Brook High School,"840 King St Rye Brook, NY 10573",
Sleepy Hollow High School,"210 N Broadway Sleepy Hollow, NY 10591",
Columbia Secondary School,"425 W 123rd St New York, NY 10027",
NYC Lab High School for Collaborative Studies,"333 W 17th St New York, NY 10011",
Fair Lawn High School,"14 00 Berdan Avenue Fair Lawn, NJ 07410",
Yorktown High School,"2727 Crompond Rd Yorktown Heights, NY 10598",
Ramapo High School,"331 George Street Franklin Lakes, NJ 07417",
Cold Spring Harbor High School,"82 Turkey Ln Cold Spring Harbor, NY 11724",
White Plains Senior High School,"550 North St White Plains, NY 10605",
Science Park High School,"260 Norfolk Street Newark, NJ 07102",
