school_name,school_address,latitude
Stuyvesant High School," 345 Chambers St New York, NY 10282","(40.7179876, -74.0138420443421)"
Bergen County Academies,"200 Hackensack Avenue Hackensack, NJ 07601","(40.9012393225806, -74.0353447741935)"
High Technology High School,"765 Newman Springs Road Lincroft, NJ 07738","(40.3262704, -74.1314886709229)"
Union County Magnet High School,"1776 Raritan Road Scotch Plains, NJ 07076","(40.6181661, -74.3568340380298)"
Staten Island Technical High School,"485 Clawson St Staten Island, NY 10306","(40.567911, -74.115454)"
Townsend Harris High School,"149-11 Melbourne Ave Queens, NY 11367","(40.7349959, -73.8212748364796)"
Bronx High School of Science,"75 W 205th St Bronx, NY 10468","(40.8783886, -73.8909549748252)"
Biotechnology High School,"5000 Kozloski Road Freehold, NJ 07728","(40.2741722, -74.2467772)"
Jericho Senior High School,"99 Cedar Swamp Rd Jericho, NY 11753","(40.795623, -73.540871)"
Great Neck South High School,"341 Lakeville Rd Lake Success, NY 11020","(40.7626472946858, -73.7039892522798)"
Bergen County Technical High School - Teterboro,"504 Us-46 Teterboro, NJ 07608","(40.8624807, -74.0598586)"
"The Academy for Mathematics, Science & Engineering","520 West Main Street Rockaway, NJ 07866","(40.89024635, -74.5292298879234)"
Academy for Allied Health Science,"1776 Raritan Road Scotch Plains, NJ 07076","(40.6181661, -74.3568340380298)"
Academy for Information Technology,"1776 Raritan Road Scotch Plains, NJ 07076","(40.6181661, -74.3568340380298)"
High School Math Science & Engineering at The City College of New York (CCNY),"240 Convent Ave New York, NY 10031","(40.82147395, -73.9490462998348)"
Dr. Ronald E. McNair Academic High School,"123 Coles Street Jersey City, NJ 07302","(40.7267734, -74.0474179144249)"
Millburn Senior High School,"462 Millburn Ave Millburn, NJ 07041","(40.7203185, -74.316137678152)"
Scarsdale Senior High School,"1057 Post Rd Scarsdale, NY 10583","(40.99241775, -73.7937156666667)"
Syosset Senior High School,"70 S Woods Rd Syosset, NY 11791","(40.826228, -73.480857)"
Manhasset Secondary School,"200 Memorial Pl Manhasset, NY 11030","(40.7946415912967, -73.7009327972586)"
Herricks High School,"100 Shelter Rock Rd Herricks, NY 11040","(40.76489875, -73.6627705001847)"
Staples High School,"70 North Ave Coleytown, Westport, Fairfield, CT 06880","(41.15466715, -73.3276955327841)"
Baccalaureate School for Global Education,"34-12 36th Ave Long Island City, NY 11106","(40.7620235, -73.9426272)"
Great Neck North High School,"35 Polo Rd Great Neck, NY 11023","(40.7997842, -73.7403514702846)"
Union County Vocational-Technical High School,"1776 Raritan Rd Scotch Plains, NJ 07076","(40.6181661, -74.3568340380298)"
High School of American Studies at Lehman College,"2925 Goulden Ave Bronx, NY 10468","(40.87477195, -73.8951986992977)"
Bard High School Early College Queens,"30-20 Thomson Ave Long Island City, NY 11101","(40.7455819, -73.9392201)"
